front,back,category,notes
apple,a red fruit,food,common fruit
computer,electronic device,technology,modern tool
beautiful,pleasing to the eye,adjectives,positive quality
run,to move quickly on foot,verbs,physical action
happy,feeling joy or contentment,emotions,positive feeling
book,a written work,objects,educational item
water,clear liquid essential for life,nature,life necessity
friend,a person you like and trust,relationships,important person
learn,to gain knowledge or skills,education,continuous process
dream,a series of thoughts during sleep,concepts,subconscious activity
